Broker,Rater,Industry
Boar,Livestock Farming,Agriculture/Farming
"Boarding and Lodging Houses, Rooming Houses, Fraternities and So",Lodges and Clubs,Hotels/Casino/Entertainment
"Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities,",Lodges and Clubs,Hotels/Casino/Entertainment
Boarding House,Mid Rise Apartments - 5-9 stories,Habitational
Boarding or Rooming Houses - 11 to 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Boarding or Rooming Houses - Over 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Boarding or Rooming Houses - Up to 10 units,Mid Rise Apartments - 5-9 stories,Habitational
Boat and Accessories Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Boat and Marine Supply Store,Miscellaneous Retailers,Retail
Boat Dealer,Miscellaneous Retailers,Retail
Boat Dealers - Boat and Marine Supply Stores,Miscellaneous Retailers,Retail
Boat Ramps and Dock,Piers and Wharves,Transportation
Boat Ramps Bathhouse,Marinas,Transportation
Boat storage and normal dock activity,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
BOATHOUSE,Marinas,Transportation
Bodie Building,Unknown,Unknown
Body Shop,Auto Repair Shop Garage,Retail
Body Shop - Covered Storage,Auto Repair Shop Garage,Retail
Bogan Museum,Museums,Hotels/Casino/Entertainment
Boise Office Corporate Office (Computer hard/software,Offices,Offices
Bone Yard Pavilion,Governmental Office & Administration,Govermental/Municipal
Book Store,Miscellaneous Retailers,Retail
Bookstore,Miscellaneous Retailers,Retail
Bookstore/Gift Shop,Miscellaneous Retailers,Retail
Booster Pump,Water Supply and Irrigation Systems,Utilities
booster station for water tank,Water Supply and Irrigation Systems,Utilities
Bowers Stadium East Concessions,Large Stadium & Arenas,Hotels/Casino/Entertainment
Bowers Stadium N Ticket Booth,Large Stadium & Arenas,Hotels/Casino/Entertainment
Bowers Stadium SW Ticket Booth,Large Stadium & Arenas,Hotels/Casino/Entertainment
Bowers Stdium SE Ticket Booth,Large Stadium & Arenas,Hotels/Casino/Entertainment
BOWLING,Bowling Centers,Hotels/Casino/Entertainment
Bowling Alley,Bowling Centers,Hotels/Casino/Entertainment
Bowling alleys,Bowling Centers,Hotels/Casino/Entertainment
BOY SCOUT HUT,Governmental Office & Administration,Govermental/Municipal
Boys & Girls Club,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Boys' and Girls' Camps,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
BOYS AND GIRLS CLUB,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Boys Concession - Restroom Building,Unknown,Unknown
BPP- has den for meetings,Unknown,Unknown
BRADEN RIVER HIGH SCHOOL,Schools,Education
Braden River Library,Library,Govermental/Municipal
Brambles Playground,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Branch Office,Offices,Offices
BRAWNER RESIDENCE,Mid Rise Apartments - 5-9 stories,Habitational
Breakroom/Mtnce Facility,Auto Repair Shop Garage,Retail
Breezes - Pool,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Breezes Activity Building,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Breezes Restaurant,Restaurants - Not Fast Food,Retail
Brew Pub,"Lounges, Night Clubs, Discos",Retail
Brew Pub & Restaurant,Restaurants - Not Fast Food,Retail
Brewery,Breweries,Food
Brewery & Public House,Single Family Dwellings,Habitational
Brewing Location,Breweries,Food
Briarwood Recreation Center,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Brick Cottage 125,Single Family Dwellings,Habitational
Brick Cottage 126,Single Family Dwellings,Habitational
Brick Cottage 127,Single Family Dwellings,Habitational
Brick House Fire Office,Offices,Offices
Brick House/Office Conversion,Offices,Offices
Brick Picnic Shelter - Pavilion,Governmental Office & Administration,Govermental/Municipal
Brick Veneer,Single Family Dwellings,Habitational
Bridge House,Single Family Dwellings,Habitational
Bridge Plaza-Health Info Mgt.,Home Health Care Service,Health Services
BRIDGES,Bridges and Tunnels,Transportation
Briscoe Administration Building,Offices,Offices
Brite Spot Restaurant,Restaurants - Not Fast Food,Retail
Broadacres Farm,Livestock Farming,Agriculture/Farming
Broadcast Facility,Tv and Radio Stations,Communications
Broadwell Pavilion,Governmental Office & Administration,Govermental/Municipal
BRONZE MONUMENT AIR FORCE,Governmental Office & Administration,Govermental/Municipal
BRONZE MONUMENT ARMY,Governmental Office & Administration,Govermental/Municipal
BRONZE MONUMENT COAST GUARD,Governmental Office & Administration,Govermental/Municipal
BRONZE MONUMENT MARINE,Governmental Office & Administration,Govermental/Municipal
BRONZE MONUMENT NAVY,Governmental Office & Administration,Govermental/Municipal
BROOKS PARK STORAGE BUILDING,Governmental Office & Administration,Govermental/Municipal
Brooks Station - Old Fire Station,Governmental Office & Administration,Govermental/Municipal
BROWN HOUSE (FIRE DEPT. OFF),Offices,Offices
BRUNDAGE PARK PAVILION - RESTROOM BUILDING,Governmental Office & Administration,Govermental/Municipal
BUCKHEAD CEMETERY PAVILION,Governmental Office & Administration,Govermental/Municipal
Buckman House,Single Family Dwellings,Habitational
Buffalo Creek Golf Course,Golf Courses and Country Clubs,Hotels/Casino/Entertainment
BUICE SCHOOL,Schools,Education
Builder Risk,Construction Contractors,Light Industry
BUILDERS RISK,Construction Contractors,Light Industry
Builders' Risk,Construction Contractors,Light Industry
Builder's Risk,Construction Contractors,Light Industry
Builders Risk - Industrial,Machinery Manufacturing,Light Industry
Builder's Risk - Industrial,Machinery Manufacturing,Light Industry
Builders Risk - To Be Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Builders Risk - Turkey Farm,Livestock Farming,Agriculture/Farming
Builders Risk Residential,Mid Rise Apartments - 5-9 stories,Habitational
Builders risks (ex renovations or re-hab),Single Family Dwellings,Habitational
Builders Risks (renovations or re-habs),Construction Contractors,Light Industry
Builders risks(renovations or re-habs),Single Family Dwellings,Habitational
"Building -  """"D""""  Housing",Single Family Dwellings,Habitational
"Building  """"A""""  Office",Offices,Offices
"Building  """"C"""" Housing",Single Family Dwellings,Habitational
"Building - """"E"""" Housing",Single Family Dwellings,Habitational
"Building  """"P""""  Staff Housing",Single Family Dwellings,Habitational
"Building """" B""""  Dining Hall/Staff Housing",Single Family Dwellings,Habitational
"Building """" L""""  Housing",Single Family Dwellings,Habitational
"Building """" M""""  Housing",Single Family Dwellings,Habitational
"Building """" N""""  Staff Housing",Single Family Dwellings,Habitational
"Building """" O""""  Maintenance",Machinery Manufacturing,Light Industry
"Building """"F""""  Craft House",Lodges and Clubs,Hotels/Casino/Entertainment
"Building """"G""""  Assembly Hall",Lodges and Clubs,Hotels/Casino/Entertainment
"Building """"H"""" Game Room",Lodges and Clubs,Hotels/Casino/Entertainment
"Building """"I""""  Cafeteria/Dining",Restaurants - Not Fast Food,Retail
"Building """"J""""  Dorm",Mid Rise Student Housing - 5-9 stories,Habitational
"Building """"K"""" Dorm",Mid Rise Student Housing - 5-9 stories,Habitational
"Building """"Q""""  Group Activities",Lodges and Clubs,Hotels/Casino/Entertainment
Building & Fenced Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Building A - Office,Offices,Offices
Building and Code Enforcement Office,Offices,Offices
Building and Grounds Maintenance Shop,Machinery Manufacturing,Light Industry
Building leased by the Oregon State Police for Offices and Meeting rooms,Governmental Office & Administration,Govermental/Municipal
BUILDING LRO,Mid Rise Apartments - 5-9 stories,Habitational
Building Material Dealers and Distributors/Lumberyard,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Building Material Distributors,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Building materials dealers,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Building- Office, laboratory and warehousing space",Offices,Offices
BUILDING OWNER,Mid Rise Apartments - 5-9 stories,Habitational
BUILDING OWNER - LRO,Mid Rise Apartments - 5-9 stories,Habitational
BUILDING OWNER LRO,Mid Rise Apartments - 5-9 stories,Habitational
BUILDING OWNER-LRO,Mid Rise Apartments - 5-9 stories,Habitational
Building premises - LRO,Single Family Dwellings,Habitational
Building Provided to the Museum for Curator and Storage of antiques,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Building Rented to Auto Body/ Auto Repair,Auto Repair Shop Garage,Retail
Building Structure - raising or moving - Contractors storage or sales outlet,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Building Supplies - Not Lumber Yard,Logging,Heavy Industry
Building Supplies/Lumber Yard,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Building Supply Yards, Including Retail Lumberyards, Coal and Co",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Building Under Construction,Construction Contractors,Light Industry
Building unoccupied - Trying to sell through DAS Maintenance - Buer backed out - Re-posting Sale,Mid Rise Apartments - 5-9 stories,Habitational
Building w/ Indoor Water Slide and Features,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
BUILDING WITH OFFICE,Offices,Offices
"Building, Fenced Storage & Shop",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Building, Tenant Occupied (Mechanic Shop)",Auto Repair Shop Garage,Retail
Buildings or Premises - bank and other financial institutions,Offices,Offices
Buildings or Premises - office - Not-For-Profit only,Offices,Offices
Buildings or Premises - office - Other than Not-For-Profit,Offices,Offices
Buildings with Outdoor Hazards (Grandstands/Ski Lifts/Marinas),Marinas,Transportation
Buildings/Retail/Pool (see comments),Miscellaneous Retailers,Retail
Bunk House,Single Family Dwellings,Habitational
BUNKHOUSE,Residential Care,Health Services
BUNKHOUSE/CABIN,Lodges and Clubs,Hotels/Casino/Entertainment
BUNTEN ROAD PLAYGROUND,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Burdett Tennis Center,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Burnet Elem,Schools,Education
Burnet Elemenary - Playground Equipment,Schools,Education
Burnet Elem-HVAC Structure,Schools,Education
Burnside Retail,Miscellaneous Retailers,Retail
Bus Barn Bldg G,Livestock Farming,Agriculture/Farming
Bus Barn Storage,Livestock Farming,Agriculture/Farming
Bus Bay/Offices,Offices,Offices
Bus Garage,Parking Garages,Light Industry
Bus Maint/Food Whse,Auto Repair Shop Garage,Retail
Bus Repair & Wash,Auto Repair Shop Garage,Retail
Bus Repair/Offices,Auto Repair Shop Garage,Retail
Bus Repair/Piant Shop,Auto Repair Shop Garage,Retail
Bus storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Business Development Office,Offices,Offices
"Business Hotel, 102 Main Rooms have 1 Bedroom, 12 Bungalows in 4 Units, Most Rooms have 1 Bedroom -- New addition houses 40 new luxury guest suites",Full-Service Hotel,Hotels/Casino/Entertainment
Business Office,Offices,Offices
Business Operating Center;  Sales and Service Support,Offices,Offices
Business Storage r/a 1 Family Dwellings (Lessor's Risk),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
BUTCHER SHOP,Supermarkets and Grocery,Retail
C - Retail,Miscellaneous Retailers,Retail
C.E.- School,Schools,Education
Cabana/Office/Sauna,Offices,Offices
CABIN,Single Family Dwellings,Habitational
Cabin View Farm,Livestock Farming,Agriculture/Farming
CABINET & STONE WHOLESALER,Lodges and Clubs,Hotels/Casino/Entertainment
CABINET MFG,Wood Products Manufacturing,Heavy Industry
CABLE OFFICE,Offices,Offices
CABLE TV BUILDING,Tv and Radio Stations,Communications
CAFE,Restaurants - Not Fast Food,Retail
Café,Restaurants - Not Fast Food,Retail
Cafe /Dining Hall,Restaurants - Not Fast Food,Retail
Café/ Music,Restaurants - Not Fast Food,Retail
Café/Art/Music,Restaurants - Not Fast Food,Retail
Café/Art/Music/Central,Restaurants - Not Fast Food,Retail
Café/Lab/Gyms/Classrooms,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
CAFE/LOUNGE,Restaurants - Not Fast Food,Retail
CAFE/LOUNGE/RESTAURANT,Restaurants - Not Fast Food,Retail
Café/Media/clrms,Tv and Radio Stations,Communications
Café/Music,Restaurants - Not Fast Food,Retail
Café/Off./Clrms/Aud.,Restaurants - Not Fast Food,Retail
Cafeieria,Restaurants - Not Fast Food,Retail
Cafeteria Addition,Restaurants - Not Fast Food,Retail
Cafeteria Addition to Gym Bldg,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Cafeteria Addition to Main Bldg,Restaurants - Not Fast Food,Retail
Cafeteria Bldg,Restaurants - Not Fast Food,Retail
Cafeteria Building,Restaurants - Not Fast Food,Retail
"Cafeteria, Infirmary, Administration",Restaurants - Fast Food,Retail
Cafeteria/Art/Music,Restaurants - Not Fast Food,Retail
Cafeteria/Band,Restaurants - Not Fast Food,Retail
Cafeteria/Classrooms,Schools,Education
Cafeteria/Gym,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Cafeteria/Gym/Band,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Cafeteria/Music,Restaurants - Not Fast Food,Retail
Cafetorium,Restaurants - Not Fast Food,Retail
Cafetorium Addition,Restaurants - Not Fast Food,Retail
Cafetorium/Kit/Gym,Restaurants - Not Fast Food,Retail
Cafetorium/Music,Restaurants - Not Fast Food,Retail
Calf Barn,Livestock Farming,Agriculture/Farming
Call Center,Offices,Offices
Call Center (Multi Tenant Bldg),Offices,Offices
Call Center Lease,Offices,Offices
Call Center offices,Offices,Offices
Camera/Photo Supplies,Miscellaneous Retailers,Retail
Camp Mgr Dwlg,Single Family Dwellings,Habitational
Camp Office  E-2 - Leased Mod-Owned Land,Offices,Offices
Camp site log cabin,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
camp store,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Campground A Loop  restroom/shower,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Campground B Loop restroom/shower,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Campground D Loop restroom/shower,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Campground F Loop restroom/shower,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Campground registration booth,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Camping resort,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Camps,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Can Manufacturing - Metal,Metal Product Manufacturing,Light Industry
Can Whs,Grocery Merchant Wholesalers,Storage and Wholesale Trade
Canaan Corner Store,Miscellaneous Retailers,Retail
CANDY MANUFACTURER,Chocolate Manufacturing,Food
cannery,Cannery - Fruits and Vegetables,Food
CANOPY/EQUIPMENT STORAGE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Canteen,Restaurants - Not Fast Food,Retail
Canvas Manufacturing,Canvas and Related Product Mills,Light Industry
Cape Child Dvlp Ctr,Home Health Care Service,Health Services
Cape Coral Hospital (Includes Medical Office Buildilng and Women & Childrens Centers),Offices,Offices
Cape Coral Infant Care Center,Day Care,Health Services
Car Canopy,Parking Garages,Light Industry
CAR DEALER OFFICE WITH LOT USED TO PARK CARS,Auto Dealers,Retail
CAR DEALER OFFICE WITHLOT USED TO PARK CARS,Auto Dealers,Retail
Car dealership,Auto Dealers,Retail
CAR GARAGE,Parking Garages,Light Industry
Car Loading Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CAR WASH,Car Washes,Retail
Car Wash & Storage,Dealers Open Lot,Retail
Car wash-Dealer,Dealers Open Lot,Retail
Car Washes,Dealers Open Lot,Retail
CAR WASHES - CC 0931 / OC 7,Dealers Open Lot,Retail
Car Washes - other than self-service,Dealers Open Lot,Retail
Cardiac Rehabilitation,Rehabilitation Facility,Health Services
Cardiothoracic Clinic,Home Health Care Service,Health Services
Career Labs,Offices,Offices
Career lLabs,Offices,Offices
"Carlton Cards, Ltd.
(Canada Admin Office)",Offices,Offices
Carnegie Library,Library,Govermental/Municipal
CARNEYS POINT HOTEL (Vacant),Mid Rise Apartments - 5-9 stories,Habitational
Carnival Ride,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Carnival Rides,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Carnival Rides & Equipment,Electrical Equipment and Component Manufacturing,Light Industry
Carnival Rides- Office/Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CARPENTER/MAINTENANCE,Machinery Manufacturing,Light Industry
Carpentry - Shop Only,Wood Products Manufacturing,Heavy Industry
Carpentry services,Wood Products Manufacturing,Heavy Industry
CARPENTRY SHOP,Wood Products Manufacturing,Heavy Industry
Carpentry Shop Classroom/Maint. Storage (old Mltprpse Clsrm),Schools,Education
Carpet or Faberic – Mfg,Carpet Manufacturer,Light Industry
Carpet/Floor Distributing,Carpet Manufacturer,Light Industry
Carpet/Flooring/Fabric/Fur/Laundry/Shoe/Tailer Sales,Laundry,Retail
Carport,Parking Garages,Light Industry
CARPORT 18X21,Parking Garages,Light Industry
CARPORT FOR PATROL CARS,Parking Garages,Light Industry
carport/storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Carrolton Highway Water Tank,Water Supply and Irrigation Systems,Utilities
Casino,Casino,Hotels/Casino/Entertainment
Casinos,Casino,Hotels/Casino/Entertainment
Casinos - 46,Casino,Hotels/Casino/Entertainment
Casita 1,Single Family Dwellings,Habitational
Casita 10,Single Family Dwellings,Habitational
Casita 11,Single Family Dwellings,Habitational
Casita 12,Single Family Dwellings,Habitational
Casita 13,Single Family Dwellings,Habitational
Casita 14,Single Family Dwellings,Habitational
Casita 2,Single Family Dwellings,Habitational
Casita 3,Single Family Dwellings,Habitational
Casita 4,Single Family Dwellings,Habitational
Casita 6,Single Family Dwellings,Habitational
Casita 7,Single Family Dwellings,Habitational
Casita 8,Single Family Dwellings,Habitational
Casita 9,Single Family Dwellings,Habitational
CASUAL DINING,Restaurants - Not Fast Food,Retail
Cat Shop,Miscellaneous Retailers,Retail
Catalog Call Center,Offices,Offices
Caterer,Supermarkets and Grocery,Retail
Caterers,Supermarkets and Grocery,Retail
CATERING,Restaurants - Not Fast Food,Retail
Catering Business,Supermarkets and Grocery,Retail
CATERING HALL,Restaurants - Not Fast Food,Retail
Catering Kitchen,Restaurants - Not Fast Food,Retail
Cattle,Livestock Farming,Agriculture/Farming
Cattle loafing,Livestock Farming,Agriculture/Farming
Cattle Loafing Barn,Livestock Farming,Agriculture/Farming
Cattle Yearling,Livestock Farming,Agriculture/Farming
CE - Classrooms,Schools,Education
CE #1 School,Schools,Education
Ce Modular-Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CE#2 School,Schools,Education
CE/Dwelling,Single Family Dwellings,Habitational
CE/Fellowship,Governmental Office & Administration,Govermental/Municipal
CE/Fellowship Hall,Governmental Office & Administration,Govermental/Municipal
CE/Gym - Greensboro,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
CE/Office  S-2,Offices,Offices
CE/Storage Modular,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CE/Youth/Fellowship,Governmental Office & Administration,Govermental/Municipal
Cedar Lodge-Dwlg,Lodges and Clubs,Hotels/Casino/Entertainment
CE-Dwlg,Single Family Dwellings,Habitational
CE-Fellowship Hall,Governmental Office & Administration,Govermental/Municipal
Cement,Cement Manufacturing,Heavy Industry
Cement Manufacturing Plant & Equipment,Cement Manufacturing,Heavy Industry
CEMETARY,Cemetery,Religious/Churches
CEMETARY (2) GATES ONLY,Cemetery,Religious/Churches
CEMETARY STORAGE BUILDING,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CEMETERY BUILDING,Cemetery,Religious/Churches
Cemetery Office,Offices,Offices
Cemetery Office - Shop,Offices,Offices
Cemetery Office - Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CEMETERY PAVILION,Governmental Office & Administration,Govermental/Municipal
Central Classrooms,Schools,Education
Central Garage,Parking Garages,Light Industry
Central Library,Library,Govermental/Municipal
Central Middle/Classrooms,Schools,Education
Central Middle/Classrooms /Natatorium / Gym,Schools,Education
Central Middle-Tennis Court / Included in Site Improvement,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Central Pavilion,Governmental Office & Administration,Govermental/Municipal
Central Plant -  Sewer Admin,Water & Sewage Treatment Facilities,Utilities
Central Plant - Field Office/Sludge Rec,Water & Sewage Treatment Facilities,Utilities
Central Plant - Machine Shop,Machinery Manufacturing,Light Industry
Central Receiving Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Central Warehouse and Equipment Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CENTRAL WASTEWATER TREATMENT PLANT,Water & Sewage Treatment Facilities,Utilities
CERAMIC STUDIO,Clay Refractory Manufacturing,Heavy Industry
Ceramic/sculpture Building,Clay Refractory Manufacturing,Heavy Industry
Chalet,Lodges and Clubs,Hotels/Casino/Entertainment
Chalfant Auditorium,Full-Service Hotel,Hotels/Casino/Entertainment
Chamber Building,Governmental Office & Administration,Govermental/Municipal
Chamber of Commerce,Governmental Office & Administration,Govermental/Municipal
Chamber of Commerce Building,Governmental Office & Administration,Govermental/Municipal
Chamber of Commerce Welcome Center,Governmental Office & Administration,Govermental/Municipal
Chamber Office &Old Jail Museum,Offices,Offices
CHAMBLEE DUNWOODY COLLISION PARKING,Parking Garages,Light Industry
Chapel,"Church, Mosque or Synagogue",Religious/Churches
Chapel - Long Beach,"Church, Mosque or Synagogue",Religious/Churches
"Chapel, dining & education",Universities and Colleges,Education
Chapel/Dorm,Mid Rise Student Housing - 5-9 stories,Habitational
Chapel-Old,"Church, Mosque or Synagogue",Religious/Churches
Chaplains,"Church, Mosque or Synagogue",Religious/Churches
Chassis Yard Canopy,Auto Repair Shop Garage,Retail
Chassis Yard M&R Bldg.,Auto Repair Shop Garage,Retail
Chassis Yard Office Trailer,Offices,Offices
CHATTOOGA ACADEMY,Schools,Education
Check in for Visitors and Inmate Processing,Correctional Institutions and Prisons,Govermental/Municipal
Chemical,Inorganic Chemical Manufacturing,Heavy Industry
Chemical - Air Compressor - Electrical Building,Electrical Equipment and Component Manufacturing,Light Industry
CHEMICAL - BLOWER BUILDING,Inorganic Chemical Manufacturing,Heavy Industry
Chemical  Feed Building 1,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Building,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Building and Well,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Feed and Canopy,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Feed Building,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Feed Building 2,Inorganic Chemical Manufacturing,Heavy Industry
CHEMICAL FEED PUMP BUILDING,Inorganic Chemical Manufacturing,Heavy Industry
CHEMICAL FEED STATION,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Manufacturing - Non Combustible or Low Hazard,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Processing,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Pump Building,Inorganic Chemical Manufacturing,Heavy Industry
chemical storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CHEMICAL STORAGE 1,Inorganic Chemical Manufacturing,Heavy Industry
CHEMICAL STORAGE 2,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Storage Bldg,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Chemical Storage Building,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Storage Building A,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Storage Building B,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Storage Facility,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Storage Tank 1,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Storage Tank 2,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Tank,Inorganic Chemical Manufacturing,Heavy Industry
CHEMICAL TANK BUILDING,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Tank Farm,Livestock Farming,Agriculture/Farming
Chemical Tanks,Inorganic Chemical Manufacturing,Heavy Industry
Chemical Tanks Pad,Inorganic Chemical Manufacturing,Heavy Industry
Chemicals Processing,Inorganic Chemical Manufacturing,Heavy Industry
Cherry Branch GGP Farm,Livestock Farming,Agriculture/Farming
Chesterfield Farm,Livestock Farming,Agriculture/Farming
Child Care Center,Day Care,Health Services
Child Care Facility,Day Care,Health Services
Child Development Ctr,Day Care,Health Services
Child Ministry Location - Lease,Offices,Offices
Children/Youth Center,Day Care,Health Services
Children's Center,Day Care,Health Services
Childrens Church,"Church, Mosque or Synagogue",Religious/Churches
Children's Education,Schools,Education
Childrens ER,Hospital,Health Services
Children's ID/DD Group Home,Assisted Living,Health Services
Childrens Meeting - Lease,Offices,Offices
Childrens Ministry,"Church, Mosque or Synagogue",Religious/Churches
Children's Pediatric Rehab,Rehabilitation Facility,Health Services
Chimney Rock Shopping Center,Department Stores,Retail
Chip & Dust,Miscellaneous Waste Management,Heavy Industry
Chip & Refuse System,Miscellaneous Waste Management,Heavy Industry
Chip Bins,Miscellaneous Waste Management,Heavy Industry
Chip Car Loader,Miscellaneous Waste Management,Heavy Industry
Chip Car Loading System,Miscellaneous Waste Management,Heavy Industry
Chip Fuel Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Chip Loading,Miscellaneous Waste Management,Heavy Industry
Chip Waste System,Miscellaneous Waste Management,Heavy Industry
Chipper Bldg,Miscellaneous Waste Management,Heavy Industry
Chipper System,Miscellaneous Waste Management,Heavy Industry
Chlorine Station,Water & Sewage Treatment Facilities,Utilities
CHP Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CHRISTIAN CENTER,"Church, Mosque or Synagogue",Religious/Churches
Christian Ed.,"Church, Mosque or Synagogue",Religious/Churches
Christian Education,Universities and Colleges,Education
Christian Education - Rent,Universities and Colleges,Education
Christian Education - Storage - Long Beach,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CHRISTUS Command Center and CSRHS Physician Services Officed here,Offices,Offices
CHRISTUS Credentialing,Unknown,Unknown
Christus- Saint Mary Hospital,Hospital,Health Services
Chuch,"Church, Mosque or Synagogue",Religious/Churches
CHURCH,"Church, Mosque or Synagogue",Religious/Churches
CHURCH - CC 0900 / OC 22,"Church, Mosque or Synagogue",Religious/Churches
Church - Closed for Winter,"Church, Mosque or Synagogue",Religious/Churches
Church - Granite City,"Church, Mosque or Synagogue",Religious/Churches
Church - Greensboro,"Church, Mosque or Synagogue",Religious/Churches
Church - Gym,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Church - Lease Out,"Church, Mosque or Synagogue",Religious/Churches
Church - Leased Out 100%,"Church, Mosque or Synagogue",Religious/Churches
Church - Long Beach,"Church, Mosque or Synagogue",Religious/Churches
Church - Milford,"Church, Mosque or Synagogue",Religious/Churches
Church - Modular,"Church, Mosque or Synagogue",Religious/Churches
Church - Modular - Lease,"Church, Mosque or Synagogue",Religious/Churches
Church - Multi Use,"Church, Mosque or Synagogue",Religious/Churches
Church - Multipurpose,"Church, Mosque or Synagogue",Religious/Churches
Church - occassional lease out,"Church, Mosque or Synagogue",Religious/Churches
Church - Okawville,"Church, Mosque or Synagogue",Religious/Churches
Church - Partial Lease Out,"Church, Mosque or Synagogue",Religious/Churches
Church - Pre-School,Schools,Education
Church - Prescott Campus,"Church, Mosque or Synagogue",Religious/Churches
Church - Rented Out,"Church, Mosque or Synagogue",Religious/Churches
Church - Sanctuary,"Church, Mosque or Synagogue",Religious/Churches
Church - Satellite,"Church, Mosque or Synagogue",Religious/Churches
Church - School,Schools,Education
Church - Temporary Location,"Church, Mosque or Synagogue",Religious/Churches
Church - Transferred from 30646,"Church, Mosque or Synagogue",Religious/Churches
Church - Vacant,Mid Rise Apartments - 5-9 stories,Habitational
