Step,ModifierName,Factor,ListType,PlanType,Activity,Value,Min,Max,AllStates,WAState
8,step_8_em,Experience of Internal Management,True,No Range,Good,1.0,0.0,0.0,Some turnovers in middle management in the last 3 years; average experience of management 5 – 10 years; sufficient formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 5 but less than 10. Turnover of management team greater than 20% but less or equal to 50%."
8,step_8_em,Experience of Internal Management,True,No Range,Very Good,0.9,0.0,0.0,Some turnovers in middle management in the last 3 years; average experience of management 10+ years; sufficient formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 10 but less than 15. Turnover of management team less than or equal to 20%."
8,step_8_em,Experience of Internal Management,True,No Range,Excellent,0.85,0.0,0.0,Little or no management turnover; average experience of management 10+ years; rigorous formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 15. No turnover, excellent history."
8,step_8_em,Experience of Internal Management,False,No Range,Poor,1.15,0.0,0.0,Significant top level management turnover in the last 3 years; average experience of management <5 years; no formal management evaluation practices.,Average industry experience of management is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation. Turnover of management team greater than 75%.
8,step_8_em,Experience of Internal Management,False,No Range,Fair,1.05,0.0,0.0,One or more turnovers of top management in the last 3 years; average experience of management <5 years; limited/insufficient formal management evaluation practices.,Average industry experience of management is less than 5 years. Turnover of management team greater than 50% but less than or equal to 75%.
8,step_8_em,Experience of Internal Management,False,No Range,Good,1.0,0.0,0.0,Some turnovers in middle management in the last 3 years; average experience of management 5 – 10 years; sufficient formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 5 but less than 10. Turnover of management team greater than 20% but less or equal to 50%."
8,step_8_em,Experience of Internal Management,False,No Range,Very Good,0.9,0.0,0.0,Some turnovers in middle management in the last 3 years; average experience of management 10+ years; sufficient formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 10 but less than 15. Turnover of management team less than or equal to 20%."
8,step_8_em,Experience of Internal Management,False,No Range,Excellent,0.85,0.0,0.0,Little or no management turnover; average experience of management 10+ years; rigorous formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 15. No turnover, excellent history."
8,step_8_em,Experience of Internal Management,False,Range,Below Average,0.0,1.0,1.15,Significant top level management turnover in the last 3 years; average experience of management <5 years; no formal management evaluation practices.,Average industry experience of management is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation. Turnover of management team greater than 75%.
8,step_8_em,Experience of Internal Management,False,Range,Average,0.0,1.0,1.0,One or more turnovers of top management in the last 3 years; average experience of management <5 years; limited/insufficient formal management evaluation practices.,Average industry experience of management is less than 5 years. Turnover of management team greater than 50% but less than or equal to 75%.
8,step_8_em,Experience of Internal Management,False,Range,Above Average,0.0,0.85,1.0,Some turnovers in middle management in the last 3 years; average experience of management 5 – 10 years; sufficient formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 5 but less than 10. Turnover of management team greater than 20% but less or equal to 50%."
9,step_9_om,Outside Board of Directors,True,No Range,Poor,1.15,0.0,0.0,Greater than 30% board member turnover in the last 5 years; prevalent conflicts of interest; board members have marginal/questionable backgrounds.,Average industry experience of board of directors is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation.
9,step_9_om,Outside Board of Directors,True,No Range,Fair,1.05,0.0,0.0,15 to 30% board member turnover in the last 5 years; minor potential conflicts of interest; board members have good backgrounds. ,Average industry experience of board of directors is less than 5 years.
9,step_9_om,Outside Board of Directors,True,No Range,Good,1.0,0.0,0.0,Less than 15% of board member turnover in the last 5 years; no clear conflicts of interest; board members have good backgrounds.,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 5 but less than 10."
9,step_9_om,Outside Board of Directors,True,No Range,Very Good,0.9,0.0,0.0,No board turnover in the last 5 years; appropriate expertise on board; board members have clean backgrounds; no clear conflicts of interest.,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 10 but less than 15."
9,step_9_om,Outside Board of Directors,True,No Range,Excellent,0.85,0.0,0.0,No board turnover in the last 5 years; above average expertise on board; board members have clean backgrounds; no clear conflicts of interest; even appearance of potential conflicts of interest are avoided,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 15."
9,step_9_om,Outside Board of Directors,False,No Range,Poor,1.15,0.0,0.0,Greater than 30% board member turnover in the last 5 years; prevalent conflicts of interest; board members have marginal/questionable backgrounds.,Average industry experience of board of directors is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation.
9,step_9_om,Outside Board of Directors,False,No Range,Fair,1.05,0.0,0.0,15 to 30% board member turnover in the last 5 years; minor potential conflicts of interest; board members have good backgrounds. ,Average industry experience of board of directors is less than 5 years.
9,step_9_om,Outside Board of Directors,False,No Range,Good,1.0,0.0,0.0,Less than 15% of board member turnover in the last 5 years; no clear conflicts of interest; board members have good backgrounds.,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 5 but less than 10."
9,step_9_om,Outside Board of Directors,False,No Range,Very Good,0.9,0.0,0.0,No board turnover in the last 5 years; appropriate expertise on board; board members have clean backgrounds; no clear conflicts of interest.,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 10 but less than 15."
9,step_9_om,Outside Board of Directors,False,No Range,Excellent,0.85,0.0,0.0,No board turnover in the last 5 years; above average expertise on board; board members have clean backgrounds; no clear conflicts of interest; even appearance of potential conflicts of interest are avoided,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 15."
9,step_9_om,Outside Board of Directors,False,Range,Below Average,0.0,1.0,1.15,Greater than 30% board member turnover in the last 5 years; prevalent conflicts of interest; board members have marginal/questionable backgrounds.,Average industry experience of board of directors is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation.
9,step_9_om,Outside Board of Directors,False,Range,Average,0.0,1.0,1.0,15 to 30% board member turnover in the last 5 years; minor potential conflicts of interest; board members have good backgrounds. ,Average industry experience of board of directors is less than 5 years.
9,step_9_om,Outside Board of Directors,False,Range,Above Average,0.0,0.85,1.0,Less than 15% of board member turnover in the last 5 years; no clear conflicts of interest; board members have good backgrounds.,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 5 but less than 10."
10,step_10_lm,General,True,No Range,Below Average,0.85,0.0,0.0,No litigation against company in the last 5 years.,No litigation against company in the last 5 years.
10,step_10_lm,General,True,No Range,Average,1.0,0.0,0.0,Some litigation against company in the last 1 to 5 years; no significant litigation.,No current litigation in the last 12 months and none anticipated in the next 12 months.
10,step_10_lm,General,True,No Range,Significant,1.2,0.0,0.0,Litigation against company in the past year; significant litigation in the last 5 years.,"No current litigation, but anticipated litigation in next 12 months, or 1+ litigation in the past 3 years."
10,step_10_lm,General,False,No Range,Below Average,0.85,0.0,0.0,No litigation against company in the last 5 years.,No litigation against company in the last 5 years.
10,step_10_lm,General,False,No Range,Average,1.0,0.0,0.0,Some litigation against company in the last 1 to 5 years; no significant litigation.,No current litigation in the last 12 months and none anticipated in the next 12 months.
10,step_10_lm,General,False,No Range,Significant,1.2,0.0,0.0,Litigation against company in the past year; significant litigation in the last 5 years.,"No current litigation, but anticipated litigation in next 12 months, or 1+ litigation in the past 3 years."
10,step_10_lm,General,False,Range,Average,0.0,0.85,1.0,No litigation against company in the last 5 years.,No litigation against company in the last 5 years.
10,step_10_lm,General,False,Range,Significant,0.0,1.1,1.25,Some litigation against company in the last 1 to 5 years; no significant litigation.,No current litigation in the last 12 months and none anticipated in the next 12 months.
11,step_11_chm,D&O Claim History,True,No Range,Confident,0.86,0.0,0.0,No significant claims which would trigger coverage noticed or filed in the last 10+ years.,No D&O litigation in the past 5 years. No conditions which could lead to future D&O litigation.
11,step_11_chm,D&O Claim History,True,No Range,Comfortable,1.0,0.0,0.0,No or few significant claims which would trigger coverage noticed or filed in the last 5-10 years.,No D&O litigation in the past 3 years. No current conditions which could lead to D&O litigation.
11,step_11_chm,D&O Claim History,True,No Range,Low Concern,1.11,0.0,0.0,Single or multiple claims of low significance noticed or filed in the last 5 years.,"No current D&O litigation, but has filed notice of circumstances in the last 5 years."
11,step_11_chm,D&O Claim History,True,No Range,Material Concern,1.33,0.0,0.0,"Significant claims, including multiple claims, which may generate loss coverage noticed or filed in the last 5 years.",1 current D&O claim in litigation or more than 3 notice of circumstances filed in the last 5 years.
11,step_11_chm,D&O Claim History,True,No Range,High Concern,1.63,0.0,0.0,"Significant claims, including multiple claims and/or claims with payments paid or expected to-be-paid (exceeding the retention), in the last 10 years.",2 or more D&O cases currently being litigated.
11,step_11_chm,D&O Claim History,True,No Range,Very High to Severe Concern,2.11,0.0,0.0,"Very significant, multiple, concerning, problematic or sizeable claims with payments paid or expected to-be-paid (exceeding the retention) in the last 10 years.",2 or more D&O cases currently being litigated and anticipated to have unfavorable outcomes.
11,step_11_chm,D&O Claim History,False,No Range,Confident,0.86,0.0,0.0,No significant claims which would trigger coverage noticed or filed in the last 10+ years.,No D&O litigation in the past 5 years. No conditions which could lead to future D&O litigation.
11,step_11_chm,D&O Claim History,False,No Range,Comfortable,1.0,0.0,0.0,No or few significant claims which would trigger coverage noticed or filed in the last 5-10 years.,No D&O litigation in the past 3 years. No current conditions which could lead to D&O litigation.
11,step_11_chm,D&O Claim History,False,No Range,Low Concern,1.11,0.0,0.0,Single or multiple claims of low significance noticed or filed in the last 5 years.,"No current D&O litigation, but has filed notice of circumstances in the last 5 years."
11,step_11_chm,D&O Claim History,False,No Range,Material Concern,1.33,0.0,0.0,"Significant claims, including multiple claims, which may generate loss coverage noticed or filed in the last 5 years.",1 current D&O claim in litigation or more than 3 notice of circumstances filed in the last 5 years.
11,step_11_chm,D&O Claim History,False,No Range,High Concern,1.63,0.0,0.0,"Significant claims, including multiple claims and/or claims with payments paid or expected to-be-paid (exceeding the retention), in the last 10 years.",2 or more D&O cases currently being litigated.
11,step_11_chm,D&O Claim History,False,No Range,Very High to Severe Concern,2.11,0.0,0.0,"Very significant, multiple, concerning, problematic or sizeable claims with payments paid or expected to-be-paid (exceeding the retention) in the last 10 years.",2 or more D&O cases currently being litigated and anticipated to have unfavorable outcomes.
11,step_11_chm,D&O Claim History,False,Range,Confident,0.0,0.72,1.0,No significant claims which would trigger coverage noticed or filed in the last 10+ years.,No D&O litigation in the past 5 years. No conditions which could lead to future D&O litigation.
11,step_11_chm,D&O Claim History,False,Range,Comfortable,0.0,1.0,1.0,No or few significant claims which would trigger coverage noticed or filed in the last 5-10 years.,No D&O litigation in the past 3 years. No current conditions which could lead to D&O litigation.
11,step_11_chm,D&O Claim History,False,Range,Low Concern,0.0,1.0,1.21,Single or multiple claims of low significance noticed or filed in the last 5 years.,"No current D&O litigation, but has filed notice of circumstances in the last 5 years."
11,step_11_chm,D&O Claim History,False,Range,Material Concern,0.0,1.21,1.44,"Significant claims, including multiple claims, which may generate loss coverage noticed or filed in the last 5 years.",1 current D&O claim in litigation or more than 3 notice of circumstances filed in the last 5 years.
11,step_11_chm,D&O Claim History,False,Range,High Concern,0.0,1.44,1.82,"Significant claims, including multiple claims and/or claims with payments paid or expected to-be-paid (exceeding the retention), in the last 10 years.",2 or more D&O cases currently being litigated.
11,step_11_chm,D&O Claim History,False,Range,Very High to Severe Concern,0.0,1.82,2.4,"Very significant, multiple, concerning, problematic or sizeable claims with payments paid or expected to-be-paid (exceeding the retention) in the last 10 years.",2 or more D&O cases currently being litigated and anticipated to have unfavorable outcomes.
12,step_12_sm,Shareholder Base,True,No Range,Principal shareholders (own more than 10%),1.0,0.0,0.0,,
12,step_12_sm,Shareholder Base,True,No Range,Employee Stock ownership plan,1.25,0.0,0.0,,
12,step_12_sm,Shareholder Base,True,No Range,Inadequate/Excessive Management ownership ,1.1,0.0,0.0,,
12,step_12_sm,Shareholder Base,False,No Range,Principal shareholders (own more than 10%),1.0,0.0,0.0,,
12,step_12_sm,Shareholder Base,False,No Range,Employee Stock ownership plan,1.25,0.0,0.0,,
12,step_12_sm,Shareholder Base,False,No Range,Inadequate/Excessive Management ownership,1.1,0.0,0.0,,
12,step_12_sm,Shareholder Base,False,Range,Principal shareholders (own more than 10%),0.0,1.0,1.15,,
12,step_12_sm,Shareholder Base,False,Range,Employee Stock ownership plan,0.0,1.0,1.5,,
12,step_12_sm,Shareholder Base,False,Range,Inadequate/Excessive Management ownership,0.0,1.0,1.15,,
13,step_13_edm,Equity or Debt Offering,True,No Range,Equity or Debt offering,1.5,0.0,0.0,,
13,step_13_edm,Equity or Debt Offering,True,No Range,Not Applicable,1.0,0.0,0.0,,
13,step_13_edm,Equity or Debt Offering,False,No Range,Equity or Debt offering,1.5,0.0,0.0,,
13,step_13_edm,Equity or Debt Offering,False,No Range,Not Applicable,1.0,0.0,0.0,,
13,step_13_edm,Equity or Debt Offering,False,Range,Equity or Debt offering,0.0,1.0,2.0,,
14,step_14_spm,Recent Stock Volatility,True,No Range,High Volatility,1.1,0.0,0.0,One or more of the following: stock beta is 1.50 or greater; EPS exceeds industry average; stock appreciation >=25% in the last 12 months.,"Active trading, trades at a higher price on average than the prior 52-week period."
14,step_14_spm,Recent Stock Volatility,True,No Range,Stable,1.0,0.0,0.0,Stock beta is between 1.00 to 1.50; EPS in line with industry average; stock appreciation <25% in the last 12 months.,Trades in line with prior 52-week period.
14,step_14_spm,Recent Stock Volatility,True,No Range,Low Volatility,0.9,0.0,0.0,Stock beta is less than 1.00; EPS lower than industry average; stock appreciation <5% in the last 12 months.,"Limited trading, trades at a price that is a discount to prior 52-week period."
14,step_14_spm,Recent Stock Volatility,False,No Range,High Volatility,1.1,0.0,0.0,One or more of the following: stock beta is 1.50 or greater; EPS exceeds industry average; stock appreciation >=25% in the last 12 months.,"Active trading, trades at a higher price on average than the prior 52-week period."
14,step_14_spm,Recent Stock Volatility,False,No Range,Stable,1.0,0.0,0.0,Stock beta is between 1.00 to 1.50; EPS in line with industry average; stock appreciation <25% in the last 12 months.,Trades in line with prior 52-week period.
14,step_14_spm,Recent Stock Volatility,False,No Range,Low Volatility,0.9,0.0,0.0,Stock beta is less than 1.00; EPS lower than industry average; stock appreciation <5% in the last 12 months.,"Limited trading, trades at a price that is a discount to prior 52-week period."
14,step_14_spm,Recent Stock Volatility,False,Range,High Volatility,0.0,1.0,1.15,One or more of the following: stock beta is 1.50 or greater; EPS exceeds industry average; stock appreciation >=25% in the last 12 months.,"Active trading, trades at a higher price on average than the prior 52-week period."
14,step_14_spm,Recent Stock Volatility,False,Range,Stable,0.0,1.0,1.0,Stock beta is between 1.00 to 1.50; EPS in line with industry average; stock appreciation <25% in the last 12 months.,Trades in line with prior 52-week period.
14,step_14_spm,Recent Stock Volatility,False,Range,Low Volatility,0.0,0.85,1.0,Stock beta is less than 1.00; EPS lower than industry average; stock appreciation <5% in the last 12 months.,"Limited trading, trades at a price that is a discount to prior 52-week period."
16,step_16_pcm,Private Company Modifier,True,No Range,Not Publicly Traded,0.5,0.0,0.0,,
16,step_16_pcm,Private Company Modifier,True,No Range,Publicly Traded,1.0,0.0,0.0,,
16,step_16_pcm,Private Company Modifier,False,No Range,Not Publicly Traded,0.5,0.0,0.0,,
16,step_16_pcm,Private Company Modifier,False,No Range,Publicly Traded,1.0,0.0,0.0,,
16,step_16_pcm,Private Company Modifier,False,Range,Not Publicly Traded,0.0,0.5,0.5,,
16,step_16_pcm,Private Company Modifier,False,Range,Publicly Traded,0.0,1.0,1.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,True,No Range,Insured person Non-Indemnifiable coverage only,0.65,0.0,0.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,True,No Range,Non-Indemnifiable and Indemnifiable Insured Person coverage Only,0.95,0.0,0.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,True,No Range,None,1.0,0.0,0.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,False,No Range,Insured person Non-Indemnifiable coverage only,0.65,0.0,0.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,False,No Range,Non-Indemnifiable and Indemnifiable Insured Person coverage Only,0.95,0.0,0.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,False,No Range,None,1.0,0.0,0.0,,
17,step_17_icm,Indemnifiable Coverage Modifier,False,Range,Insured person Non-Indemnifiable coverage only,0.0,0.5,0.9,,
17,step_17_icm,Indemnifiable Coverage Modifier,False,Range,Non-Indemnifiable and Indemnifiable Insured Person coverage Only,0.0,0.9,1.0,,
18,step_18_yo,Years in Operation,True,No Range,More than 5 Years,1.0,0.0,0.0,,
18,step_18_yo,Years in Operation,True,No Range,"At least 3 Years, but no more than 5 Years ",1.05,0.0,0.0,,
18,step_18_yo,Years in Operation,True,No Range,Less than 3 Years,1.15,0.0,0.0,,
18,step_18_yo,Years in Operation,False,No Range,More than 5 Years,1.0,0.0,0.0,,
18,step_18_yo,Years in Operation,False,No Range,"At least 3 Years, but no more than 5 Years ",1.05,0.0,0.0,,
18,step_18_yo,Years in Operation,False,No Range,Less than 3 Years,1.15,0.0,0.0,,
18,step_18_yo,Years in Operation,False,Range,More than 5 Years,0.0,0.85,1.0,,
18,step_18_yo,Years in Operation,False,Range,"At least 3 Years, but no more than 5 Years ",0.0,1.0,1.05,,
18,step_18_yo,Years in Operation,False,Range,Less than 3 Years,0.0,1.05,1.25,,
19,step_19_saf,Side-A Factor,True,No Range,Yes,0.6,0.0,0.0,,
19,step_19_saf,Side-A Factor,True,No Range,No,1.0,0.0,0.0,,
19,step_19_saf,Side-A Factor,False,No Range,Yes,0.6,0.0,0.0,,
19,step_19_saf,Side-A Factor,False,No Range,No,1.0,0.0,0.0,,
19,step_19_saf,Side-A Factor,False,Range,Yes,0.0,0.5,0.7,,
19,step_19_saf,Side-A Factor,False,Range,No,0.0,1.0,1.0,,
20,step_20a_fwic,Fit within Industry Classification,True,No Range,None,0.0,-0.1,0.1,,
21,step_20b_iglp,Internal Governance & Loss Prevention,True,No Range,None,0.0,-0.1,0.1,,
22,step_20c_rii,Regulatory Investigations or Issues,True,No Range,None,0.0,-0.1,0.1,,
23,step_20d_str,Susceptibility to Recession,True,No Range,None,0.0,-0.1,0.1,,
24,step_20e_mcd,Major Customer Dependency,True,No Range,None,0.0,-0.1,0.1,,
25,step_20f_lre,Labor Relations Exposure,True,No Range,None,0.0,-0.1,0.1,,
26,step_20_srf,Schedule Rating Factor,True,No Range,None,0.0,-0.25,0.25,,
27,step_18_yo_ca,Years in Operation,True,No Range,10 Years or More,0.85,0.85,0.85,,
27,step_18_yo_ca,Years in Operation,True,No Range,"At least 5 Years, but no more than 10 Years",1.0,1.0,1.0,,
27,step_18_yo_ca,Years in Operation,True,No Range,"At least 3 Years, but no more than 5 Years",1.05,1.05,1.05,,
27,step_18_yo_ca,Years in Operation,True,No Range,Less than 3 Years,1.15,1.15,1.15,,
